  Time, Signal, Error
0,0.11882,0.08192
0.52941,0.08911,0.09643
1.05882,0.285,0.04554
1.58824,0.39336,0.0625
2.11765,0.62809,0.0665
2.64706,0.88149,0.08303
3.17647,0.82432,0.1311
3.70588,0.97387,0.12459
4.23529,0.92449,0.04511
4.76471,0.70809,0.13329
5.29412,0.57157,0.04984
5.82353,0.50732,0.06843
6.35294,0.41775,0.0979
6.88235,0.27247,0.05734
7.41176,0.25619,0.06854
7.94118,-0.08363,0.04678
8.47059,-0.14729,0.06954
9,-0.24274,0.07553
9.52941,-0.45433,0.08613
10.05882,-0.50434,0.12834
10.58824,-0.33599,0.09274
11.11765,-0.6176,0.04433
11.64706,-0.5509,0.04386
12.17647,-0.64004,0.0454
12.70588,-0.5889,0.07707
13.23529,-0.51684,0.07068
13.76471,-0.33355,0.04209
14.29412,-0.15771,0.08716
14.82353,-0.12316,0.07241
15.35294,-0.07472,0.06581
15.88235,-0.0079,0.04605
16.41176,0.13567,0.05778
16.94118,0.09412,0.07577
17.47059,0.20059,0.10076
18,0.24636,0.13156
18.52941,0.30372,0.12865
19.05882,0.36142,0.09751
19.58824,0.32046,0.05955
20.11765,0.25726,0.12744
20.64706,0.45002,0.0916
21.17647,0.29604,0.04255
21.70588,0.23199,0.16595
22.23529,0.15344,0.05249
22.76471,0.0971,0.10783
23.29412,0.0881,0.09892
23.82353,-0.00432,0.04987
24.35294,0.03389,0.06807
24.88235,-0.14683,0.11772
25.41176,-0.17726,0.06291
25.94118,-0.17481,0.12294
26.47059,-0.07074,0.06607
27,-0.17764,0.07152
27.52941,-0.19318,0.08837
28.05882,-0.16309,0.08817
28.58824,-0.16431,0.05494
29.11765,-0.03348,0.06047
29.64706,-0.12555,0.06592
30.17647,-0.14963,0.04793
30.70588,-0.04869,0.06975
31.23529,-0.05897,0.04425
31.76471,-0.08426,0.06478
32.29412,0.12333,0.08881
32.82353,0.07902,0.05554
33.35294,0.23444,0.06577
33.88235,0.09322,0.08031
34.41176,0.15434,0.08255
34.94118,0.26849,0.12963
35.47059,0.16487,0.07632
36,0.20407,0.05142
36.52941,0.25747,0.10091
37.05882,0.09318,0.04311
37.58824,0.09717,0.06488
38.11765,0.18531,0.05486
38.64706,0.10874,0.05283
39.17647,0.05402,0.09586
39.70588,-0.06771,0.04432
40.23529,0.08769,0.113
40.76471,-0.02435,0.07987
41.29412,-0.04243,0.07993
41.82353,0.03811,0.05619
42.35294,-0.01842,0.06315
42.88235,-0.04515,0.04527
43.41176,-0.08021,0.06074
43.94118,-0.04978,0.04348
44.47059,-0.10765,0.06478
45,-0.09499,0.05327
