           x,            y,     Uncertainty on y
1.00, 0.03,0.01
1.41, -0.33,0.03
1.82, 0.60,0.01
2.23, 1.40,0.03
2.64, 1.22,0.01
3.05, 1.65,0.02
3.46, 1.14,0.06
3.87, 2.60,0.07
4.28, 3.43,0.06
4.69, 4.46,0.04
5.10, 4.78,0.05
5.51, 4.63,0.03
5.92, 6.54,0.01
6.33, 7.15,0.03
6.74, 6.98,0.06
7.15, 8.60,0.01
7.56, 8.19,0.00
7.97, 9.28,0.06
8.38, 11.06,0.02
8.79, 12.32,0.06
9.21, 14.11,0.06
9.62, 15.10,0.07
10.03, 15.84,0.03
10.44, 17.08,0.03
10.85, 17.80,0.06
11.26, 19.59,0.06
11.67, 21.65,0.05
12.08, 22.86,0.06
12.49, 23.48,0.05
12.90, 25.75,0.08
13.31, 27.20,0.03
13.72, 29.37,0.06
14.13, 31.07,0.08
14.54, 32.40,0.03
14.95, 34.17,0.05
15.36, 36.43,0.03
15.77, 38.47,0.04
16.18, 39.44,0.01
16.59, 41.27,0.00
17.00, 43.86,0.06
